Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17
"--- PAGE 1, TABLE 1 ---",,,,,,,,,,,,,,,,
,,,,,,,,,,Percentiles (height,in cm),,,,,
: Month,Month,L,M,S,SD,1st,3rd,5th,15th,25th 50th,75th,85th,95th,97th,99th,
,,,,,,,,,,,,,,,,
5: 1,61,1,110.2647,0.04164,4.5914,99.6,101.6,102.7,105.5,107.2 110.3,113.4,115.0,117.8,118.9,120.9,
5: 2,62,1,110.8006,0.04172,4.6226,100.0,102.1,103.2,106.0,107.7 110.8,113.9,115.6,118.4,119.5,121.6,
5: 3,63,1,111.3338,0.04180,4.6538,100.5,102.6,103.7,106.5,108.2 111.3,114.5,116.2,119.0,120.1,122.2,
5: 4,64,1,111.8636,0.04187,4.6837,101.0,103.1,104.2,107.0,108.7 111.9,115.0,116.7,119.6,120.7,122.8,
5: 5,65,1,112.3895,0.04195,4.7147,101.4,103.5,104.6,107.5,109.2 112.4,115.6,117.3,120.1,121.3,123.4,
5: 6,66,1,112.9110,0.04203,4.7456,101.9,104.0,105.1,108.0,109.7 112.9,116.1,117.8,120.7,121.8,124.0,
,,,,,,,,,,,,,,,,
5: 7,67,1,113.4280,0.04211,4.7765,102.3,104.4,105.6,108.5,110.2 113.4,116.7,118.4,121.3,122.4,124.5,
5: 8,68,1,113.9410,0.04218,4.8060,102.8,104.9,106.0,109.0,110.7 113.9,117.2,118.9,121.8,123.0,125.1,
5: 9,69,1,114.4500,0.04226,4.8367,103.2,105.4,106.5,109.4,111.2 114.5,117.7,119.5,122.4,123.5,125.7,
5:10,70,1,114.9547,0.04234,4.8672,103.6,105.8,106.9,109.9,111.7 115.0,118.2,120.0,123.0,124.1,126.3,
5:11,71,1,115.4549,0.04241,4.8964,104.1,106.2,107.4,110.4,112.2 115.5,118.8,120.5,123.5,124.7,126.8,
6: 0,72,1,115.9509,0.04249,4.9268,104.5,106.7,107.8,110.8,112.6 116.0,119.3,121.1,124.1,125.2,127.4,
,,,,,,,,,,,,,,,,
6: 1,73,1,116.4432,0.04257,4.9570,104.9,107.1,108.3,111.3,113.1 116.4,119.8,121.6,124.6,125.8,128.0,
6: 2,74,1,116.9325,0.04264,4.9860,105.3,107.6,108.7,111.8,113.6 116.9,120.3,122.1,125.1,126.3,128.5,
,,,,,,,,,,,,,,,,
6: 3,75,1,117.4196,0.04272,5.0162,105.8,108.0,109.2,112.2,114.0 117.4,120.8,122.6,125.7,126.9,129.1,
,,,,,,,,,,,,,,,,
6: 4,76,1,117.9046,0.04280,5.0463,106.2,108.4,109.6,112.7,114.5 117.9,121.3,123.1,126.2,127.4,129.6,
,,,,,,,,,,,,,,,,
6: 5,77,1,118.3880,0.04287,5.0753,106.6,108.8,110.0,113.1,115.0 118.4,121.8,123.6,126.7,127.9,130.2,
6: 6,78,1,118.8700,0.04295,5.1055,107.0,109.3,110.5,113.6,115.4 118.9,122.3,124.2,127.3,128.5,130.7,
,,,,,,,,,,,,,,,,
6: 7,79,1,119.3508,0.04303,5.1357,107.4,109.7,110.9,114.0,115.9 119.4,122.8,124.7,127.8,129.0,131.3,
,,,,,,,,,,,,,,,,
6: 8,80,1,119.8303,0.04311,5.1659,107.8,110.1,111.3,114.5,116.3 119.8,123.3,125.2,128.3,129.5,131.8,
,,,,,,,,,,,,,,,,
6: 9,81,1,120.3085,0.04318,5.1949,108.2,110.5,111.8,114.9,116.8 120.3,123.8,125.7,128.9,130.1,132.4,
,,,,,,,,,,,,,,,,
6:10,82,1,120.7853,0.04326,5.2252,108.6,111.0,112.2,115.4,117.3 120.8,124.3,126.2,129.4,130.6,132.9,
,,,,,,,,,,,,,,,,
6:11,83,1,121.2604,0.04334,5.2554,109.0,111.4,112.6,115.8,117.7 121.3,124.8,126.7,129.9,131.1,133.5,
7: 0,84,1,121.7338,0.04342,5.2857,109.4,111.8,113.0,116.3,118.2 121.7,125.3,127.2,130.4,131.7,134.0,
,,,,,,,,,,,,,,,,
7: 1,85,1,122.2053,0.04350,5.3159,109.8,112.2,113.5,116.7,118.6 122.2,125.8,127.7,130.9,132.2,134.6,
,,,,,,,,,,,,,,,,
7: 2,86,1,122.6750,0.04358,5.3462,110.2,112.6,113.9,117.1,119.1 122.7,126.3,128.2,131.5,132.7,135.1,
"--- PAGE 2, TABLE 1 ---",,,,,,,,,,,,,,,,
9 years,(percentiles),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,Percentiles (height,in cm),,,,,
,,,,,,,,,,,,,,,,
: Month,Month,L,M,S,SD,1st,3rd,5th,15th,25th 50th,75th,85th,95th,97th,99th,
,,,,,,,,,,,,,,,,
7: 3,87,1,123.1429,0.04366,5.3764,110.6,113.0,114.3,117.6,119.5 123.1,126.8,128.7,132.0,133.3,135.7,
,,,,,,,,,,,,,,,,
7: 4,88,1,123.6092,0.04374,5.4067,111.0,113.4,114.7,118.0,120.0 123.6,127.3,129.2,132.5,133.8,136.2,
,,,,,,,,,,,,,,,,
7: 5,89,1,124.0736,0.04382,5.4369,111.4,113.8,115.1,118.4,120.4 124.1,127.7,129.7,133.0,134.3,136.7,
7: 6,90,1,124.5361,0.04390,5.4671,111.8,114.3,115.5,118.9,120.8 124.5,128.2,130.2,133.5,134.8,137.3,
,,,,,,,,,,,,,,,,
7: 7,91,1,124.9964,0.04398,5.4973,112.2,114.7,116.0,119.3,121.3 125.0,128.7,130.7,134.0,135.3,137.8,
,,,,,,,,,,,,,,,,
7: 8,92,1,125.4545,0.04406,5.5275,112.6,115.1,116.4,119.7,121.7 125.5,129.2,131.2,134.5,135.9,138.3,
,,,,,,,,,,,,,,,,
7: 9,93,1,125.9104,0.04414,5.5577,113.0,115.5,116.8,120.2,122.2 125.9,129.7,131.7,135.1,136.4,138.8,
7:10,94,1,126.3640,0.04422,5.5878,113.4,115.9,117.2,120.6,122.6 126.4,130.1,132.2,135.6,136.9,139.4,
7:11,95,1,126.8156,0.04430,5.6179,113.7,116.2,117.6,121.0,123.0 126.8,130.6,132.6,136.1,137.4,139.9,
8: 0,96,1,127.2651,0.04438,5.6480,114.1,116.6,118.0,121.4,123.5 127.3,131.1,133.1,136.6,137.9,140.4,
,,,,,,,,,,,,,,,,
8: 1,97,1,127.7129,0.04446,5.6781,114.5,117.0,118.4,121.8,123.9 127.7,131.5,133.6,137.1,138.4,140.9,
8: 2,98,1,128.1590,0.04454,5.7082,114.9,117.4,118.8,122.2,124.3 128.2,132.0,134.1,137.5,138.9,141.4,
8: 3,99,1,128.6034,0.04462,5.7383,115.3,117.8,119.2,122.7,124.7 128.6,132.5,134.6,138.0,139.4,142.0,
8: 4,100,1,129.0466,0.04470,5.7684,115.6,118.2,119.6,123.1,125.2 129.0,132.9,135.0,138.5,139.9,142.5,
8: 5,101,1,129.4887,0.04478,5.7985,116.0,118.6,120.0,123.5,125.6 129.5,133.4,135.5,139.0,140.4,143.0,
8: 6,102,1,129.9300,0.04487,5.8300,116.4,119.0,120.3,123.9,126.0 129.9,133.9,136.0,139.5,140.9,143.5,
,,,,,,,,,,,,,,,,
8: 7,103,1,130.3705,0.04495,5.8602,116.7,119.3,120.7,124.3,126.4 130.4,134.3,136.4,140.0,141.4,144.0,
8: 8,104,1,130.8103,0.04503,5.8904,117.1,119.7,121.1,124.7,126.8 130.8,134.8,136.9,140.5,141.9,144.5,
8: 9,105,1,131.2495,0.04511,5.9207,117.5,120.1,121.5,125.1,127.3 131.3,135.2,137.4,141.0,142.4,145.0,
8:10,106,1,131.6884,0.04519,5.9510,117.8,120.5,121.9,125.5,127.7 131.7,135.7,137.9,141.5,142.9,145.5,
8:11,107,1,132.1269,0.04527,5.9814,118.2,120.9,122.3,125.9,128.1 132.1,136.2,138.3,142.0,143.4,146.0,
9: 0,108,1,132.5652,0.04535,6.0118,118.6,121.3,122.7,126.3,128.5 132.6,136.6,138.8,142.5,143.9,146.6,
,,,,,,,,,,,,,,,,
9: 1,109,1,133.0031,0.04543,6.0423,118.9,121.6,123.1,126.7,128.9 133.0,137.1,139.3,142.9,144.4,147.1,
9: 2,110,1,133.4404,0.04551,6.0729,119.3,122.0,123.5,127.1,129.3 133.4,137.5,139.7,143.4,144.9,147.6,
9: 3,111,1,133.8770,0.04559,6.1035,119.7,122.4,123.8,127.6,129.8 133.9,138.0,140.2,143.9,145.4,148.1,
"--- PAGE 3, TABLE 1 ---",,,,,,,,,,,,,,,,
9 y,ears,(percentiles),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,Percentiles (height,in cm),,,,
,,,,,,,,,,,,,,,,
: M,onth,Month,L,M,S,SD,1st,3rd,5th,15th,25th 50th,75th,85th,95th,97th,99th
,,,,,,,,,,,,,,,,
9:,4,112,1,134.3130,0.04566,6.1327,120.0,122.8,124.2,128.0,130.2 134.3,138.4,140.7,144.4,145.8,148.6
9:,5,113,1,134.7483,0.04574,6.1634,120.4,123.2,124.6,128.4,130.6 134.7,138.9,141.1,144.9,146.3,149.1
9:,6,114,1,135.1829,0.04582,6.1941,120.8,123.5,125.0,128.8,131.0 135.2,139.4,141.6,145.4,146.8,149.6
