Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17
"--- PAGE 1, TABLE 1 ---",,,,,,,,,,,,,,,,
,,,,,,,,,,Percentiles (height,in cm),,,,,
: Month,Month,L,M,S,SD,1st,3rd,5th,15th,25th 50th,75th,85th,95th,97th,99th,
,,,,,,,,,,,,,,,,
5: 1,61,1,109.6016,0.04355,4.7731,98.5,100.6,101.8,104.7,106.4 109.6,112.8,114.5,117.5,118.6,120.7,
5: 2,62,1,110.1258,0.04364,4.8059,98.9,101.1,102.2,105.1,106.9 110.1,113.4,115.1,118.0,119.2,121.3,
5: 3,63,1,110.6451,0.04373,4.8385,99.4,101.5,102.7,105.6,107.4 110.6,113.9,115.7,118.6,119.7,121.9,
5: 4,64,1,111.1596,0.04382,4.8710,99.8,102.0,103.1,106.1,107.9 111.2,114.4,116.2,119.2,120.3,122.5,
5: 5,65,1,111.6696,0.04390,4.9023,100.3,102.4,103.6,106.6,108.4 111.7,115.0,116.8,119.7,120.9,123.1,
5: 6,66,1,112.1753,0.04399,4.9346,100.7,102.9,104.1,107.1,108.8 112.2,115.5,117.3,120.3,121.5,123.7,
,,,,,,,,,,,,,,,,
5: 7,67,1,112.6767,0.04407,4.9657,101.1,103.3,104.5,107.5,109.3 112.7,116.0,117.8,120.8,122.0,124.2,
5: 8,68,1,113.1740,0.04415,4.9966,101.6,103.8,105.0,108.0,109.8 113.2,116.5,118.4,121.4,122.6,124.8,
5: 9,69,1,113.6672,0.04423,5.0275,102.0,104.2,105.4,108.5,110.3 113.7,117.1,118.9,121.9,123.1,125.4,
5:10,70,1,114.1565,0.04431,5.0583,102.4,104.6,105.8,108.9,110.7 114.2,117.6,119.4,122.5,123.7,125.9,
5:11,71,1,114.6421,0.04439,5.0890,102.8,105.1,106.3,109.4,111.2 114.6,118.1,119.9,123.0,124.2,126.5,
6: 0,72,1,115.1244,0.04447,5.1196,103.2,105.5,106.7,109.8,111.7 115.1,118.6,120.4,123.5,124.8,127.0,
,,,,,,,,,,,,,,,,
6: 1,73,1,115.6039,0.04454,5.1490,103.6,105.9,107.1,110.3,112.1 115.6,119.1,120.9,124.1,125.3,127.6,
6: 2,74,1,116.0812,0.04461,5.1784,104.0,106.3,107.6,110.7,112.6 116.1,119.6,121.4,124.6,125.8,128.1,
,,,,,,,,,,,,,,,,
6: 3,75,1,116.5568,0.04469,5.2089,104.4,106.8,108.0,111.2,113.0 116.6,120.1,122.0,125.1,126.4,128.7,
,,,,,,,,,,,,,,,,
6: 4,76,1,117.0311,0.04475,5.2371,104.8,107.2,108.4,111.6,113.5 117.0,120.6,122.5,125.6,126.9,129.2,
,,,,,,,,,,,,,,,,
6: 5,77,1,117.5044,0.04482,5.2665,105.3,107.6,108.8,112.0,114.0 117.5,121.1,123.0,126.2,127.4,129.8,
6: 6,78,1,117.9769,0.04489,5.2960,105.7,108.0,109.3,112.5,114.4 118.0,121.5,123.5,126.7,127.9,130.3,
,,,,,,,,,,,,,,,,
6: 7,79,1,118.4489,0.04495,5.3243,106.1,108.4,109.7,112.9,114.9 118.4,122.0,124.0,127.2,128.5,130.8,
,,,,,,,,,,,,,,,,
6: 8,80,1,118.9208,0.04502,5.3538,106.5,108.9,110.1,113.4,115.3 118.9,122.5,124.5,127.7,129.0,131.4,
,,,,,,,,,,,,,,,,
6: 9,81,1,119.3926,0.04508,5.3822,106.9,109.3,110.5,113.8,115.8 119.4,123.0,125.0,128.2,129.5,131.9,
,,,,,,,,,,,,,,,,
6:10,82,1,119.8648,0.04514,5.4107,107.3,109.7,111.0,114.3,116.2 119.9,123.5,125.5,128.8,130.0,132.5,
,,,,,,,,,,,,,,,,
6:11,83,1,120.3374,0.04520,5.4393,107.7,110.1,111.4,114.7,116.7 120.3,124.0,126.0,129.3,130.6,133.0,
7: 0,84,1,120.8105,0.04525,5.4667,108.1,110.5,111.8,115.1,117.1 120.8,124.5,126.5,129.8,131.1,133.5,
,,,,,,,,,,,,,,,,
7: 1,85,1,121.2843,0.04531,5.4954,108.5,110.9,112.2,115.6,117.6 121.3,125.0,127.0,130.3,131.6,134.1,
,,,,,,,,,,,,,,,,
7: 2,86,1,121.7587,0.04536,5.5230,108.9,111.4,112.7,116.0,118.0 121.8,125.5,127.5,130.8,132.1,134.6,
"--- PAGE 2, TABLE 1 ---",,,,,,,,,,,,,,,,
9 years,(percentiles),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,Percentiles (height,in cm),,,,,
,,,,,,,,,,,,,,,,
: Month,Month,L,M,S,SD,1st,3rd,5th,15th,25th 50th,75th,85th,95th,97th,99th,
,,,,,,,,,,,,,,,,
7: 3,87,1,122.2338,0.04542,5.5519,109.3,111.8,113.1,116.5,118.5 122.2,126.0,128.0,131.4,132.7,135.1,
,,,,,,,,,,,,,,,,
7: 4,88,1,122.7098,0.04547,5.5796,109.7,112.2,113.5,116.9,118.9 122.7,126.5,128.5,131.9,133.2,135.7,
,,,,,,,,,,,,,,,,
7: 5,89,1,123.1868,0.04551,5.6062,110.1,112.6,114.0,117.4,119.4 123.2,127.0,129.0,132.4,133.7,136.2,
7: 6,90,1,123.6646,0.04556,5.6342,110.6,113.1,114.4,117.8,119.9 123.7,127.5,129.5,132.9,134.3,136.8,
,,,,,,,,,,,,,,,,
7: 7,91,1,124.1435,0.04561,5.6622,111.0,113.5,114.8,118.3,120.3 124.1,128.0,130.0,133.5,134.8,137.3,
,,,,,,,,,,,,,,,,
7: 8,92,1,124.6234,0.04565,5.6891,111.4,113.9,115.3,118.7,120.8 124.6,128.5,130.5,134.0,135.3,137.9,
,,,,,,,,,,,,,,,,
7: 9,93,1,125.1045,0.04569,5.7160,111.8,114.4,115.7,119.2,121.2 125.1,129.0,131.0,134.5,135.9,138.4,
7:10,94,1,125.5869,0.04573,5.7431,112.2,114.8,116.1,119.6,121.7 125.6,129.5,131.5,135.0,136.4,138.9,
7:11,95,1,126.0706,0.04577,5.7703,112.6,115.2,116.6,120.1,122.2 126.1,130.0,132.1,135.6,136.9,139.5,
8: 0,96,1,126.5558,0.04581,5.7975,113.1,115.7,117.0,120.5,122.6 126.6,130.5,132.6,136.1,137.5,140.0,
,,,,,,,,,,,,,,,,
8: 1,97,1,127.0424,0.04585,5.8249,113.5,116.1,117.5,121.0,123.1 127.0,131.0,133.1,136.6,138.0,140.6,
8: 2,98,1,127.5304,0.04588,5.8511,113.9,116.5,117.9,121.5,123.6 127.5,131.5,133.6,137.2,138.5,141.1,
8: 3,99,1,128.0199,0.04591,5.8774,114.3,117.0,118.4,121.9,124.1 128.0,132.0,134.1,137.7,139.1,141.7,
8: 4,100,1,128.5109,0.04594,5.9038,114.8,117.4,118.8,122.4,124.5 128.5,132.5,134.6,138.2,139.6,142.2,
8: 5,101,1,129.0035,0.04597,5.9303,115.2,117.9,119.2,122.9,125.0 129.0,133.0,135.2,138.8,140.2,142.8,
8: 6,102,1,129.4975,0.04600,5.9569,115.6,118.3,119.7,123.3,125.5 129.5,133.5,135.7,139.3,140.7,143.4,
,,,,,,,,,,,,,,,,
8: 7,103,1,129.9932,0.04602,5.9823,116.1,118.7,120.2,123.8,126.0 130.0,134.0,136.2,139.8,141.2,143.9,
8: 8,104,1,130.4904,0.04604,6.0078,116.5,119.2,120.6,124.3,126.4 130.5,134.5,136.7,140.4,141.8,144.5,
8: 9,105,1,130.9891,0.04607,6.0347,117.0,119.6,121.1,124.7,126.9 131.0,135.1,137.2,140.9,142.3,145.0,
8:10,106,1,131.4895,0.04608,6.0590,117.4,120.1,121.5,125.2,127.4 131.5,135.6,137.8,141.5,142.9,145.6,
8:11,107,1,131.9912,0.04610,6.0848,117.8,120.5,122.0,125.7,127.9 132.0,136.1,138.3,142.0,143.4,146.1,
9: 0,108,1,132.4944,0.04612,6.1106,118.3,121.0,122.4,126.2,128.4 132.5,136.6,138.8,142.5,144.0,146.7,
,,,,,,,,,,,,,,,,
9: 1,109,1,132.9989,0.04613,6.1352,118.7,121.5,122.9,126.6,128.9 133.0,137.1,139.4,143.1,144.5,147.3,
9: 2,110,1,133.5046,0.04614,6.1599,119.2,121.9,123.4,127.1,129.4 133.5,137.7,139.9,143.6,145.1,147.8,
9: 3,111,1,134.0118,0.04615,6.1846,119.6,122.4,123.8,127.6,129.8 134.0,138.2,140.4,144.2,145.6,148.4,
"--- PAGE 3, TABLE 1 ---",,,,,,,,,,,,,,,,
9 y,ears,(percentiles),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,Percentiles (height,in cm),,,,
,,,,,,,,,,,,,,,,
: M,onth,Month,L,M,S,SD,1st,3rd,5th,15th,25th 50th,75th,85th,95th,97th,99th
,,,,,,,,,,,,,,,,
9:,4,112,1,134.5202,0.04616,6.2095,120.1,122.8,124.3,128.1,130.3 134.5,138.7,141.0,144.7,146.2,149.0
9:,5,113,1,135.0299,0.04616,6.2330,120.5,123.3,124.8,128.6,130.8 135.0,139.2,141.5,145.3,146.8,149.5
9:,6,114,1,135.5410,0.04617,6.2579,121.0,123.8,125.2,129.1,131.3 135.5,139.8,142.0,145.8,147.3,150.1
